               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10669,            0.031909,            0.037332,          0.00024089,            0.034188,          0.00013544,          3.3489e-05,            0.094089,            0.024866,            0.036044,            0.070882,           0.0032353,           0.0032353
                   1,            0.094784,            0.032902,            0.035544,           0.0002168,            0.068376,          0.00013554,          2.4228e-05,            0.086554,            0.025583,            0.034808,            0.040817,           0.0065036,           0.0065036
                   2,            0.090335,            0.032412,            0.033979,           0.0002168,            0.068376,          0.00013533,          2.5554e-05,            0.083792,            0.026129,            0.033376,            0.010686,           0.0097059,           0.0097059
                   3,            0.087709,            0.030928,            0.031832,           0.0092217,             0.24426,           0.0081711,           0.0025165,            0.080578,            0.025513,            0.029496,            0.009703,            0.009703,            0.009703
                   4,            0.081563,            0.030185,            0.029402,           0.0030244,             0.54566,            0.013308,           0.0033822,            0.078347,            0.027061,             0.02734,            0.009703,            0.009703,            0.009703
                   5,            0.076019,             0.02886,            0.027819,            0.046151,             0.15789,            0.076042,            0.017206,            0.090144,            0.098438,            0.027853,            0.009604,            0.009604,            0.009604
                   6,            0.074111,            0.027836,            0.026636,          0.00024064,             0.10526,          0.00015973,          2.7874e-05,             0.10973,             0.19246,            0.046239,            0.009505,            0.009505,            0.009505
                   7,            0.070075,            0.024921,            0.025427,             0.86151,             0.19298,             0.22592,             0.11151,            0.079329,            0.032406,            0.026429,            0.009406,            0.009406,            0.009406
                   8,            0.068433,            0.022581,            0.023519,             0.37088,            0.035088,            0.008324,          0.00090173,             0.10582,             0.24902,            0.034641,            0.009307,            0.009307,            0.009307
                   9,            0.066488,            0.020122,            0.021999,             0.52745,             0.33198,             0.23009,            0.082888,            0.062576,            0.014522,            0.016585,            0.009208,            0.009208,            0.009208
                  10,            0.065349,            0.018492,             0.02045,             0.54127,             0.30858,             0.27433,             0.10183,            0.058208,            0.016024,            0.015496,            0.009109,            0.009109,            0.009109
                  11,            0.063421,             0.01791,            0.017918,              0.4143,            0.050803,            0.018029,           0.0039365,             0.10381,             0.14497,             0.02457,             0.00901,             0.00901,             0.00901
                  12,            0.062977,            0.017165,            0.017333,             0.85173,            0.052632,            0.039315,           0.0093525,             0.10188,            0.036533,            0.030009,            0.008911,            0.008911,            0.008911
                  13,            0.060497,            0.015934,            0.016351,             0.67932,             0.20153,             0.17629,            0.079884,            0.094533,             0.03075,            0.020383,            0.008812,            0.008812,            0.008812
                  14,            0.059808,            0.015975,            0.015013,             0.57484,             0.21907,             0.19139,             0.05825,            0.096063,            0.089127,            0.018783,            0.008713,            0.008713,            0.008713
                  15,            0.058133,            0.015632,             0.01496,             0.55826,             0.21907,             0.17932,            0.040592,             0.10208,             0.22371,             0.01567,            0.008614,            0.008614,            0.008614
                  16,            0.058763,            0.015308,             0.01327,             0.71901,             0.37472,             0.36468,             0.14059,            0.077022,            0.010708,            0.011987,            0.008515,            0.008515,            0.008515
                  17,            0.056914,            0.014132,            0.012928,             0.85685,             0.47906,             0.56897,             0.24092,            0.051231,            0.010326,            0.010761,            0.008416,            0.008416,            0.008416
                  18,            0.055447,            0.014232,            0.013683,             0.75066,             0.37472,             0.52764,             0.13646,            0.068989,            0.010478,             0.01101,            0.008317,            0.008317,            0.008317
                  19,             0.05409,            0.014196,            0.012825,             0.62678,             0.18399,             0.18252,            0.036098,            0.096859,            0.070541,             0.02021,            0.008218,            0.008218,            0.008218
                  20,            0.053487,            0.013614,            0.012455,             0.97359,             0.22807,             0.44823,             0.14447,            0.087092,             0.11507,            0.013417,            0.008119,            0.008119,            0.008119
                  21,            0.053196,            0.013796,            0.012141,              0.8207,             0.50337,             0.75103,             0.41464,            0.048929,            0.010363,            0.010707,             0.00802,             0.00802,             0.00802
                  22,            0.052916,              0.0131,            0.011562,             0.52141,             0.46874,             0.45921,             0.19974,             0.08008,            0.013506,             0.01363,            0.007921,            0.007921,            0.007921
                  23,            0.052321,            0.012849,            0.011831,             0.96918,             0.19501,             0.24331,             0.10314,             0.08844,            0.029377,            0.013262,            0.007822,            0.007822,            0.007822
                  24,            0.050492,            0.013506,            0.011786,             0.77113,             0.85273,             0.89236,             0.47122,            0.047795,            0.010009,           0.0099963,            0.007723,            0.007723,            0.007723
                  25,            0.051445,            0.012857,             0.01129,             0.61094,             0.54358,             0.63527,             0.37904,            0.074181,            0.014652,            0.010871,            0.007624,            0.007624,            0.007624
                  26,            0.048671,            0.013221,            0.011748,             0.65522,             0.66339,             0.69275,             0.40006,            0.069424,            0.012135,            0.010847,            0.007525,            0.007525,            0.007525
                  27,            0.050704,            0.012503,            0.011343,             0.74065,              0.8538,             0.83411,             0.47714,            0.053083,           0.0097561,           0.0097196,            0.007426,            0.007426,            0.007426
